address,token_address,token_symbol,token_decimals,token_amount,token_non_decayed_amount,token_lock_amount,token_lock_lockDuration,token_lock_lockedAt
0xa30C7B2e676bE6b0C26D631c8161b62eBeBC3cD2,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,35577719041315238106397,36884180432238706055208,36884180432238706055208,94608000,1682846627
0xEa9f2E31Ad16636f4e1AF0012dB569900401248a,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,23814252902080863836937,23814252902080863836937,23814252902080863836937,94608000,1683225047
0x89d2D4934ee4F1f579056418e6aeb136Ee919d65,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,17979716439106419245896,18639955655683698252065,18639955655683698252065,94608000,1682694671
0x4281579D99d855F2430C95a13720e53a0fCC0549,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,16733352132446270107425,16733352132446270107425,16733352132446270107425,94608000,1684221575
0xFbEA6F2B10e8Ee770F37Fff9B8C9E10d9B65741D,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,6561001435984477475580,6561001435984477475580,6561001435984477475580,94608000,1683865799
0x56446712B219fcC34a5604f5E7AF5d50d65B6647,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,6489990493108621317957,6489990493108621317957,6489990493108621317957,94608000,1683592055
0x461F635488972409981EDbD043834dbaA7239FA6,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,4822896784527500000000,5000000000000000000000,5000000000000000000000,94608000,1682409815
0x519A0dF0Bd2b586b6F7126799c30A243E13ABCbe,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,4013883042617450935433,4161278192283241786818,4161278192283241786818,94608000,1682079515
0x7bDb45b1fe5B3eB17a4C7a16C9750C7e10CcF08d,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,4076360000000000000000,4076360000000000000000,4076360000000000000000,94608000,1684412555
0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,3870312069642949452734,4012435101306158856360,4012435101306158856360,94608000,1682371811
0x1754352eacb753327Fec2d4F48f0fb36B672C5e0,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,3255229734100161070178,3255229734100161070178,3255229734100161070178,94608000,1683173375
0xd3C808920D8fCcBeBd181Aae8D4FB2ACd1A433cD,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,3207793654312846923706,3207793654312846923706,3207793654312846923706,94608000,1684442147
0x16765c8Fe6Eb838CB8f64e425b6DcCab38D4F102,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,3038961673851218212105,3150556407925434996277,3150556407925434996277,94608000,1682799395
0x1dE4F046c45Cd4E39cfCDF36b7DF4856B4031955,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,3135761155595599680257,3135761155595599680257,3135761155595599680257,94608000,1683616799
0x7ccf173012bfE53F16F4D6A2a4aea32abAfcD04C,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,2968131468473050242431,3077125222744984139217,3077125222744984139217,94608000,1682051111
0xF8C84C6A4f1083f7a7Fd94885B303A3974116D82,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,3000000000000000000000,3000000000000000000000,3000000000000000000000,94608000,1684307975
0x5C7a20b1EFa9A2aB5F448b651Aa264F233076C4C,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,2583530677058581726023,2583530677058581726023,2583530677058581726023,94608000,1684151099
